lu_1987,lu_1998,lu_2019
Palm,Palm,Grassland
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Wetland
Palm,Palm,Wetland
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Water,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Exposed soil / Urban
Grassland,Grassland,Exposed soil / Urban
Grassland,Grassland,Exposed soil / Urban
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Forest
Grassland,Grassland,Wetland
Grassland,Grassland,Wetland
Grassland,Grassland,Wetland
Grassland,Grassland,Wetland
Grassland,Grassland,Wetland
Grassland,Grassland,Wetland
Grassland,Grassland,Wetland
Grassland,Forest,Mangrove
Grassland,Forest,Grassland
Grassland,Forest,Grassland
