lu_1987,lu_1998,lu_2019
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Grassland
Palm,Palm,Exposed soil / Urban
Palm,Palm,Exposed soil / Urban
Palm,Palm,Exposed soil / Urban
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Forest
Palm,Palm,Wetland
Palm,Palm,Wetland
Palm,Palm,Wetland
Palm,Palm,Wetland
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Palm,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Mangrove,Forest
Mangrove,Grassland,Palm
Mangrove,Grassland,Palm
Mangrove,Grassland,Palm
Mangrove,Grassland,Palm
Mangrove,Grassland,Palm
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Mangrove,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
Grassland,Grassland,Grassland
