lu_1998,lu_2019
Palm,Palm
Palm,Palm
Palm,Palm
Palm,Palm
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Grassland,Palm
Grassland,Palm
Grassland,Palm
Grassland,Palm
Grassland,Palm
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
