lu_1987,lu_1998,lu_2019
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Palm,Palm,Palm
Mangrove,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Palm,Palm
Grassland/Pasture,Mangrove,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
Grassland/Pasture,Grassland/Pasture,Palm
