"X87.landuse","X98.landuse","ha_non_protected"
0,0,333827.37
1,0,6.3
2,0,2.43
3,0,241.2
4,0,57.15
5,0,53.37
6,0,34.92
7,0,33.57
8,0,2.52
9,0,0.09
0,1,4.77
1,1,1787.31
2,1,2.34
3,1,8.73
4,1,4542.84
5,1,1355.13
6,1,437.31
7,1,1394.82
8,1,29.79
9,1,2.79
0,2,1.26
1,2,8.28
2,2,4401.27
3,2,335.61
4,2,74.43
5,2,72.99
6,2,233.55
7,2,540.45
8,2,122.94
9,2,0.09
0,3,332.64
1,3,26.55
2,3,269.55
3,3,9631.08
4,3,275.58
5,3,401.76
6,3,39.06
7,3,73.35
8,3,39.24
0,4,26.55
1,4,1790.91
2,4,64.62
3,4,151.38
4,4,24375.24
5,4,11241.72
6,4,728.91
7,4,5635.98
8,4,290.43
9,4,28.8
0,5,8.82
1,5,26.19
2,5,14.85
3,5,180.72
4,5,1548.18
5,5,1547.82
6,5,32.76
7,5,161.73
8,5,45.27
9,5,0.9
0,6,3.78
1,6,20.34
2,6,68.58
3,6,7.29
4,6,72.45
5,6,98.28
6,6,21374.91
7,6,944.55
8,6,1.44
9,6,0.81
0,7,31.14
1,7,2173.05
2,7,572.13
3,7,105.93
4,7,10252.26
5,7,5967.9
6,7,1202.04
7,7,30040.2
8,7,477.81
9,7,21.33
0,8,1.08
1,8,283.59
2,8,159.75
3,8,43.56
4,8,703.62
5,8,504.27
6,8,102.6
7,8,4093.29
8,8,2273.76
9,8,0.99
0,9,0.54
1,9,52.56
2,9,0.63
3,9,0
4,9,634.41
5,9,148.32
6,9,327.42
7,9,177.84
8,9,0.54
9,9,1.62
