lu_1987,lu_1998,lu_2019,change
Mangrove,Palm,Palm,2.34
Water,Palm,Palm,8.73
Grassland/Pasture,Palm,Palm,3452.58
Grassland/Pasture,Palm,Mangrove,0.36
Grassland/Pasture,Palm,Water,6.48
Grassland/Pasture,Palm,Grassland/Pasture,1083.42
Exposed Soil/Urban,Palm,Grassland/Pasture,1.98
Exposed Soil/Urban,Palm,Exposed Soil/Urban,205.92
Exposed Soil/Urban,Palm,Forest,1147.23
Forest,Palm,Forest,437.31
Forest,Palm,Forest,817.02
Forest,Palm,Wetland,430.92
Forest,Palm,Teak/Gmelina,146.88
Wetland,Palm,Teak/Gmelina,29.79
Teak/Gmelina,Palm,Teak/Gmelina,2.79
Palm,Mangrove,Palm,8.28
Mangrove,Mangrove,Palm,0.36
Mangrove,Mangrove,Water,173.97
Water,Mangrove,Water,224.19
Water,Mangrove,Grassland/Pasture,9.27
Water,Mangrove,Exposed Soil/Urban,27
Water,Mangrove,Forest,75.15
Grassland/Pasture,Mangrove,Forest,74.43
Exposed Soil/Urban,Mangrove,Forest,72.99
Forest,Mangrove,Forest,233.55
Forest,Mangrove,Forest,172.26
Forest,Mangrove,Wetland,368.19
Wetland,Mangrove,Wetland,122.94
Palm,Water,Water,26.55
Mangrove,Water,Water,269.55
Grassland/Pasture,Water,Water,176.76
Grassland/Pasture,Water,Grassland/Pasture,75.87
Grassland/Pasture,Water,Exposed Soil/Urban,22.95
Exposed Soil/Urban,Water,Exposed Soil/Urban,192.51
Exposed Soil/Urban,Water,Forest,209.25
Forest,Water,Forest,39.06
Forest,Water,Forest,38.34
Forest,Water,Wetland,35.01
Wetland,Water,Wetland,39.24
Palm,Grassland/Pasture,Palm,1778.13
Mangrove,Grassland/Pasture,Palm,64.62
Water,Grassland/Pasture,Palm,151.38
Grassland/Pasture,Grassland/Pasture,Palm,7956.54
Grassland/Pasture,Grassland/Pasture,Mangrove,16.38
Grassland/Pasture,Grassland/Pasture,Water,238.86
Exposed Soil/Urban,Grassland/Pasture,Grassland/Pasture,168.21
