X87.landuse,X98.landuse,X19.landuse,ha,
0,0,0,522.72,
0,0,2,0.81,
0,0,3,2.07,
2,0,3,0.81,
2,0,4,0.09,
2,0,5,0.09,
3,0,5,0.00,
3,0,7,0.18,
6,0,7,3.96,
1,1,1,53.37,
2,1,1,0.90,
3,1,1,0.09,
4,1,1,32.13,
4,1,3,0.90,
4,1,4,207.18,
4,1,5,42.48,
4,1,7,126.54,
5,1,7,177.30,
6,1,7,200.61,
7,1,7,291.33,
7,1,8,29.70,
7,1,9,14.67,
8,1,9,4.14,
0,2,1,0.72,
0,2,2,1.89,
1,2,2,9.00,
2,2,2,7025.22,
2,2,3,297.54,
2,2,4,4.86,
2,2,5,29.07,
2,2,7,225.18,
3,2,7,257.94,
4,2,7,34.83,
5,2,7,44.19,
6,2,7,402.66,
7,2,7,80.46,
7,2,8,302.58,
8,2,8,563.22,
8,2,9,0.09,
0,3,0,0.18,
0,3,2,13.05,
1,3,2,8.46,
2,3,2,55.62,
3,3,2,11.43,
3,3,3,761.85,
4,3,3,14.76,
5,3,3,37.71,
6,3,3,1.44,
7,3,3,40.05,
7,3,4,5.22,
7,3,5,0.36,
8,3,5,63.81,
8,3,7,50.94,
8,3,8,23.94,
0,4,1,2.16,
1,4,1,176.76,
2,4,1,23.31,
3,4,1,5.04,
4,4,1,60.57,
4,4,2,2.52,
4,4,3,26.55,
4,4,4,1439.82,
4,4,5,336.78,
4,4,7,1.08,
5,4,7,1407.15,
6,4,7,343.89,
7,4,7,998.46,
7,4,8,161.46,
8,4,8,37.89,
8,4,9,15.21,
9,4,9,1.35,
0,5,1,2.34,
1,5,1,2.16,
1,5,2,0.09,
1,5,3,3.87,
2,5,3,1.62,
3,5,3,26.28,
4,5,3,35.55,
4,5,4,22.32,
5,5,4,1.80,
5,5,5,110.16,
5,5,7,3.87,
6,5,7,33.12,
7,5,7,40.32,
8,5,7,27.27,
8,5,8,8.01,
8,5,9,0.99,
0,6,1,0.18,
1,6,1,16.92,
2,6,1,15.57,
2,6,2,65.70,
2,6,3,7.29,
2,6,4,53.19,
3,6,4,7.92,
4,6,4,61.83,
5,6,4,31.05,
5,6,5,37.71,
5,6,6,23.31,
6,6,6,49973.58,
7,6,6,1372.68,
7,6,7,329.67,
7,6,8,40.77,
7,6,9,10.35,
8,6,9,3.06,
0,7,0,0.27,
0,7,1,1.35,
1,7,1,192.33,
1,7,2,292.41,
1,7,3,41.58,
1,7,4,20.88,
2,7,4,737.37,
2,7,5,195.57,
2,7,7,280.62,
3,7,7,66.42,
4,7,7,2941.47,
5,7,7,2651.04,
6,7,7,2069.55,
7,7,7,43954.02,
7,7,8,297.36,
8,7,8,64.53,
8,7,9,216.09,
9,7,9,9.81,
0,8,0,0.36,
0,8,1,0.81,
1,8,1,6.57,
1,8,2,32.94,
2,8,2,53.19,
2,8,3,21.24,
2,8,4,68.67,
2,8,5,41.58,
3,8,5,14.58,
3,8,7,1.62,
4,8,7,110.61,
5,8,7,82.53,
6,8,7,250.20,
7,8,7,586.08,
7,8,8,170.10,
8,8,8,1952.46,
8,8,9,14.04,
1,9,1,3.60,
1,9,4,20.07,
2,9,4,0.36,
3,9,4,0.09,
4,9,4,5.13,
4,9,5,1.44,
4,9,7,86.22,
5,9,7,30.06,
6,9,7,277.38,
7,9,7,60.66,
7,9,8,0.36,
7,9,9,43.38,
