"X98.landuse","X19.landuse","ha"
0,0,522.72
3,0,0.18
7,0,0.27
8,0,0.36
1,1,86.49
2,1,0.72
4,1,267.84
5,1,4.5
6,1,32.67
7,1,193.68
8,1,7.38
9,1,3.6
0,2,0.81
2,2,7036.11
3,2,88.56
4,2,2.52
5,2,0.09
6,2,65.7
7,2,292.41
8,2,86.13
0,3,2.88
1,3,0.9
2,3,297.54
3,3,855.81
4,3,26.55
5,3,67.32
6,3,7.29
7,3,41.58
8,3,21.24
0,4,0.09
1,4,207.18
2,4,4.86
3,4,5.22
4,4,1439.82
5,4,24.12
6,4,153.99
7,4,758.25
8,4,68.67
9,4,25.65
0,5,0.09
1,5,42.48
2,5,29.07
3,5,64.17
4,5,336.78
5,5,110.16
6,5,37.71
7,5,195.57
8,5,56.16
9,5,1.44
6,6,51369.57
0,7,4.95
1,7,795.78
2,7,1045.26
3,7,50.94
4,7,2750.58
5,7,104.58
6,7,329.67
7,7,51963.12
8,7,1031.04
9,7,454.32
1,8,29.7
2,8,865.8
3,8,23.94
4,8,199.35
5,8,8.01
6,8,40.77
7,8,361.89
8,8,2122.56
9,8,0.36
1,9,19.08
2,9,0.18
4,9,16.56
5,9,1.08
6,9,14.4
7,9,225.9
8,9,14.22
9,9,43.83
