X87.landuse,X98.landuse,X19.landuse,ha
0,0,0,333827.37
1,0,0,6.30
2,0,0,2.43
3,0,0,234.27
3,0,1,6.93
4,0,1,1.53
4,0,2,0.00
4,0,3,55.62
5,0,3,53.37
6,0,3,6.75
6,0,4,16.47
6,0,5,5.76
6,0,7,5.94
7,0,7,33.57
8,0,7,2.52
0,1,0,4.77
1,1,0,3.51
1,1,1,1783.80
2,1,1,2.34
3,1,1,8.73
4,1,1,3452.58
4,1,2,0.36
4,1,3,6.48
4,1,4,1083.42
5,1,4,1.98
5,1,5,205.92
5,1,7,1147.23
6,1,7,437.31
7,1,7,817.02
7,1,8,430.92
7,1,9,146.88
8,1,9,29.79
9,1,9,2.79
0,2,0,0.09
0,2,1,1.17
1,2,1,8.28
2,2,1,0.36
2,2,2,4226.94
2,2,3,173.97
3,2,3,224.19
3,2,4,9.27
3,2,5,27.00
3,2,7,75.15
4,2,7,74.43
5,2,7,72.99
6,2,7,233.55
7,2,7,172.26
7,2,8,368.19
8,2,8,122.94
0,3,0,56.79
0,3,1,18.45
0,3,2,172.62
0,3,3,84.78
1,3,3,26.55
2,3,3,269.55
3,3,3,9631.08
4,3,3,176.76
4,3,4,75.87
4,3,5,22.95
5,3,5,192.51
5,3,7,209.25
6,3,7,39.06
7,3,7,38.34
7,3,8,35.01
8,3,8,39.24
0,4,0,26.55
1,4,0,12.78
1,4,1,1778.13
2,4,1,64.62
3,4,1,151.38
4,4,1,7956.54
4,4,2,16.38
4,4,3,238.86
4,4,4,16163.46
5,4,4,168.21
5,4,5,4643.46
5,4,7,6430.05
6,4,7,728.91
7,4,7,4078.08
7,4,8,932.85
7,4,9,625.05
8,4,9,290.43
9,4,9,28.80
0,5,0,2.16
0,5,1,6.66
1,5,1,26.19
2,5,1,14.85
3,5,1,180.72
4,5,1,736.29
4,5,2,4.14
4,5,3,342.45
4,5,4,359.73
4,5,5,105.57
5,5,5,1429.20
5,5,7,118.62
6,5,7,32.76
7,5,7,110.97
7,5,8,50.76
8,5,8,36.54
8,5,9,8.73
0,6,0,3.78
1,6,0,8.73
1,6,1,11.61
2,6,1,68.58
3,6,1,7.29
4,6,1,72.45
5,6,1,98.28
6,6,1,71.73
6,6,2,80.82
6,6,3,9.36
6,6,4,375.75
6,6,5,72.72
6,6,6,20764.53
7,6,6,250.83
7,6,7,608.22
7,6,8,39.33
7,6,9,46.17
8,6,9,1.44
0,7,0,31.14
1,7,0,35.10
1,7,1,2137.95
2,7,1,572.13
3,7,1,105.93
4,7,1,2745.81
4,7,2,188.10
4,7,3,73.62
4,7,4,3145.32
4,7,5,1143.72
4,7,7,2955.69
5,7,7,5967.90
6,7,7,1202.04
7,7,7,26841.15
7,7,8,1957.68
7,7,9,1241.37
8,7,9,477.81
9,7,9,21.33
0,8,0,1.08
1,8,0,0.18
1,8,1,281.43
1,8,2,1.98
2,8,2,59.13
2,8,3,33.12
2,8,4,67.50
3,8,4,43.56
4,8,4,178.65
4,8,5,252.81
4,8,7,272.16
5,8,7,504.27
6,8,7,102.60
7,8,7,1066.23
7,8,8,3027.06
8,8,8,2224.80
8,8,9,48.96
0,9,0,0.54
1,9,1,52.56
2,9,1,0.63
4,9,1,159.48
4,9,3,0.36
4,9,4,86.76
4,9,5,13.05
4,9,7,374.76
5,9,7,148.32
6,9,7,204.39
6,9,8,4.68
6,9,9,118.35
7,9,9,177.84
8,9,9,0.54
9,9,9,1.62
