"","source","target","total_1987","change_87_98","total_1998","change_98_19"
"1","Exposed soil / Urban","exposed_soil_urban",25976.07,1663.65,3884.94,1644.93
"2","Exposed soil / Urban","grassland",25976.07,12648.87,3884.94,383.85
"3","Exposed soil / Urban","mangrove",25976.07,117.18,3884.94,4.23
"4","Exposed soil / Urban","palm",25976.07,1532.43,3884.94,969.21
"5","Exposed soil / Urban","primary_forest",25976.07,8809.29,3884.94,366.93
"6","Exposed soil / Urban","teak_melina",25976.07,178.38,3884.94,10.71
"7","Exposed soil / Urban","water",25976.07,439.47,3884.94,409.77
"8","Exposed soil / Urban","wetland",25976.07,586.8,3884.94,95.31
"9","Forest","exposed_soil_urban",169923.24,267.93,179441.64,1449.72
"10","Forest","grassland",169923.24,7868.7,179441.64,4433.31
"11","Forest","mangrove",169923.24,1559.7,179441.64,627.03
"12","Forest","palm",169923.24,2368.44,179441.64,6118.11
"13","Forest","primary_forest",169923.24,151609.68,179441.64,162252.72
"14","Forest","teak_melina",169923.24,887.04,179441.64,2029.23
"15","Forest","water",169923.24,159.48,179441.64,131.85
"16","Forest","wetland",169923.24,5202.27,179441.64,2399.67
"17","Grassland","exposed_soil_urban",48069.72,1606.05,49335.21,4980.24
"18","Grassland","grassland",48069.72,26242.56,49335.21,17771.49
"19","Grassland","mangrove",48069.72,109.26,49335.21,18.9
"20","Grassland","palm",48069.72,4952.07,49335.21,10218.51
"21","Grassland","primary_forest",48069.72,13328.01,49335.21,13987.62
"22","Grassland","teak_melina",48069.72,727.2,49335.21,960.84
"23","Grassland","water",48069.72,290.34,49335.21,265.41
"24","Grassland","wetland",48069.72,814.23,49335.21,1132.2
"25","Mangrove","exposed_soil_urban",14757.39,16.47,15070.32,56.07
"26","Mangrove","grassland",14757.39,87.93,15070.32,14.13
"27","Mangrove","mangrove",14757.39,11983.14,15070.32,11263.05
"28","Mangrove","palm",14757.39,3.24,15070.32,10.53
"29","Mangrove","primary_forest",14757.39,1996.02,15070.32,1673.64
"30","Mangrove","teak_melina",14757.39,0.99,15070.32,0.27
"31","Mangrove","water",14757.39,325.17,15070.32,695.7
"32","Mangrove","wetland",14757.39,344.43,15070.32,1356.93
"33","Palm","exposed_soil_urban",7056.09,32.31,10739.16,248.4
"34","Palm","grassland",7056.09,1967.67,10739.16,1292.58
"35","Palm","mangrove",7056.09,17.28,10739.16,0.36
"36","Palm","palm",7056.09,1840.68,10739.16,5333.94
"37","Palm","primary_forest",7056.09,2757.51,10739.16,3197.34
"38","Palm","teak_melina",7056.09,76.23,10739.16,198.54
"39","Palm","water",7056.09,35.01,10739.16,7.38
"40","Palm","wetland",7056.09,323.1,10739.16,460.62
"41","Teak / Melina","exposed_soil_urban",70.2,0.99,1872.54,14.49
"42","Teak / Melina","grassland",70.2,30.15,1872.54,112.41
"43","Teak / Melina","mangrove",70.2,0.18,1872.54,0
"44","Teak / Melina","palm",70.2,3.06,1872.54,216.27
"45","Teak / Melina","primary_forest",70.2,32.94,1872.54,1181.79
"46","Teak / Melina","teak_melina",70.2,1.71,1872.54,342.18
"47","Teak / Melina","water",70.2,0,1872.54,0.36
"48","Teak / Melina","wetland",70.2,1.17,1872.54,5.04
"49","Water","exposed_soil_urban",11617.56,207,12120.66,279.63
"50","Water","grassland",11617.56,156.42,12120.66,81.09
"51","Water","mangrove",11617.56,593.55,12120.66,261.18
"52","Water","palm",11617.56,8.82,12120.66,18.45
"53","Water","primary_forest",11617.56,187.56,12120.66,337.59
"54","Water","teak_melina",11617.56,0.09,12120.66,0
"55","Water","water",11617.56,10404.36,12120.66,11044.53
"56","Water","wetland",11617.56,59.76,12120.66,98.19
"57","Wetland","exposed_soil_urban",6327.27,81.54,11572.65,308.97
"58","Wetland","grassland",6327.27,343.53,11572.65,358.38
"59","Wetland","mangrove",6327.27,686.25,11572.65,147.24
"60","Wetland","palm",6327.27,33.93,11572.65,288.81
"61","Wetland","primary_forest",6327.27,762.93,11572.65,2976.3
"62","Wetland","teak_melina",6327.27,0.9,11572.65,64.17
"63","Wetland","water",6327.27,177.93,11572.65,54.36
"64","Wetland","wetland",6327.27,4240.26,11572.65,7374.42
