"","lu_1998","lu_2019"
"1","Palm","Palm"
"2","Palm","Palm"
"3","Palm","Palm"
"4","Palm","Palm"
"5","Palm","Palm"
"6","Palm","Palm"
"7","Palm","Palm"
"8","Palm","Palm"
"9","Palm","Palm"
"10","Palm","Palm"
"11","Palm","Palm"
"12","Palm","Palm"
"13","Palm","Palm"
"14","Palm","Palm"
"15","Palm","Palm"
"16","Palm","Palm"
"17","Palm","Palm"
"18","Palm","Palm"
"19","Palm","Palm"
"20","Palm","Palm"
"21","Palm","Palm"
"22","Palm","Palm"
"23","Palm","Palm"
"24","Palm","Palm"
"25","Palm","Palm"
"26","Palm","Palm"
"27","Palm","Grassland"
"28","Palm","Grassland"
"29","Palm","Grassland"
"30","Palm","Grassland"
"31","Palm","Grassland"
"32","Palm","Grassland"
"33","Palm","Grassland"
"34","Palm","Grassland"
"35","Palm","Grassland"
"36","Palm","Grassland"
"37","Palm","Grassland"
"38","Palm","Grassland"
"39","Palm","Grassland"
"40","Palm","Exposed soil / Urban"
"41","Palm","Exposed soil / Urban"
"42","Palm","Exposed soil / Urban"
"43","Palm","Forest"
"44","Palm","Forest"
"45","Palm","Forest"
"46","Palm","Forest"
"47","Palm","Forest"
"48","Palm","Forest"
"49","Palm","Forest"
"50","Palm","Forest"
"51","Palm","Forest"
"52","Palm","Forest"
"53","Palm","Forest"
"54","Palm","Forest"
"55","Palm","Forest"
"56","Palm","Forest"
"57","Palm","Forest"
"58","Palm","Forest"
"59","Palm","Forest"
"60","Palm","Forest"
"61","Palm","Forest"
"62","Palm","Forest"
"63","Palm","Forest"
"64","Palm","Forest"
"65","Palm","Forest"
"66","Palm","Forest"
"67","Palm","Forest"
"68","Palm","Forest"
"69","Palm","Forest"
"70","Palm","Forest"
"71","Palm","Forest"
"72","Palm","Forest"
"73","Palm","Forest"
"74","Palm","Forest"
"75","Palm","Forest"
"76","Palm","Forest"
"77","Palm","Forest"
"78","Palm","Forest"
"79","Palm","Forest"
"80","Palm","Forest"
"81","Palm","Forest"
"82","Palm","Forest"
"83","Palm","Forest"
"84","Palm","Forest"
"85","Palm","Forest"
"86","Palm","Forest"
"87","Palm","Forest"
"88","Palm","Forest"
"89","Palm","Forest"
"90","Palm","Forest"
"91","Palm","Forest"
"92","Palm","Forest"
"93","Palm","Forest"
"94","Palm","Forest"
"95","Palm","Forest"
"96","Palm","Forest"
"97","Palm","Forest"
"98","Palm","Forest"
"99","Palm","Forest"
"100","Palm","Forest"
"101","Palm","Forest"
"102","Palm","Forest"
"103","Palm","Forest"
"104","Palm","Forest"
"105","Palm","Forest"
"106","Palm","Forest"
"107","Palm","Forest"
"108","Palm","Forest"
"109","Palm","Forest"
"110","Palm","Forest"
"111","Palm","Forest"
"112","Palm","Forest"
"113","Palm","Forest"
"114","Palm","Forest"
"115","Palm","Forest"
"116","Palm","Forest"
"117","Palm","Forest"
"118","Palm","Forest"
"119","Palm","Forest"
"120","Palm","Forest"
"121","Palm","Forest"
"122","Palm","Forest"
"123","Palm","Wetland"
"124","Mangrove","Palm"
"125","Mangrove","Mangrove"
"126","Mangrove","Mangrove"
"127","Mangrove","Mangrove"
"128","Mangrove","Mangrove"
"129","Mangrove","Mangrove"
"130","Mangrove","Mangrove"
"131","Mangrove","Mangrove"
"132","Mangrove","Mangrove"
"133","Mangrove","Mangrove"
"134","Mangrove","Mangrove"
"135","Mangrove","Mangrove"
"136","Mangrove","Mangrove"
"137","Mangrove","Mangrove"
"138","Mangrove","Mangrove"
"139","Mangrove","Mangrove"
"140","Mangrove","Mangrove"
"141","Mangrove","Mangrove"
"142","Mangrove","Mangrove"
"143","Mangrove","Mangrove"
"144","Mangrove","Mangrove"
"145","Mangrove","Mangrove"
"146","Mangrove","Mangrove"
"147","Mangrove","Mangrove"
"148","Mangrove","Mangrove"
"149","Mangrove","Mangrove"
"150","Mangrove","Mangrove"
"151","Mangrove","Mangrove"
"152","Mangrove","Mangrove"
"153","Mangrove","Mangrove"
"154","Mangrove","Mangrove"
"155","Mangrove","Mangrove"
"156","Mangrove","Mangrove"
"157","Mangrove","Mangrove"
"158","Mangrove","Mangrove"
"159","Mangrove","Mangrove"
"160","Mangrove","Mangrove"
"161","Mangrove","Mangrove"
"162","Mangrove","Mangrove"
"163","Mangrove","Mangrove"
"164","Mangrove","Mangrove"
"165","Mangrove","Mangrove"
"166","Mangrove","Mangrove"
"167","Mangrove","Mangrove"
"168","Mangrove","Mangrove"
"169","Mangrove","Mangrove"
"170","Mangrove","Mangrove"
"171","Mangrove","Mangrove"
"172","Mangrove","Mangrove"
"173","Mangrove","Mangrove"
"174","Mangrove","Mangrove"
"175","Mangrove","Mangrove"
"176","Mangrove","Mangrove"
"177","Mangrove","Mangrove"
"178","Mangrove","Mangrove"
"179","Mangrove","Mangrove"
"180","Mangrove","Mangrove"
"181","Mangrove","Mangrove"
"182","Mangrove","Mangrove"
"183","Mangrove","Mangrove"
"184","Mangrove","Mangrove"
"185","Mangrove","Mangrove"
"186","Mangrove","Mangrove"
"187","Mangrove","Mangrove"
"188","Mangrove","Mangrove"
"189","Mangrove","Mangrove"
"190","Mangrove","Mangrove"
"191","Mangrove","Mangrove"
"192","Mangrove","Mangrove"
"193","Mangrove","Mangrove"
"194","Mangrove","Mangrove"
"195","Mangrove","Mangrove"
"196","Mangrove","Mangrove"
"197","Mangrove","Mangrove"
"198","Mangrove","Mangrove"
"199","Mangrove","Mangrove"
"200","Mangrove","Mangrove"
"201","Mangrove","Mangrove"
"202","Mangrove","Mangrove"
"203","Mangrove","Mangrove"
"204","Mangrove","Mangrove"
"205","Mangrove","Mangrove"
"206","Mangrove","Mangrove"
"207","Mangrove","Mangrove"
"208","Mangrove","Mangrove"
"209","Mangrove","Mangrove"
"210","Mangrove","Mangrove"
"211","Mangrove","Mangrove"
"212","Mangrove","Mangrove"
"213","Mangrove","Mangrove"
"214","Mangrove","Mangrove"
"215","Mangrove","Mangrove"
"216","Mangrove","Mangrove"
"217","Mangrove","Mangrove"
"218","Mangrove","Mangrove"
"219","Mangrove","Mangrove"
"220","Mangrove","Mangrove"
"221","Mangrove","Mangrove"
"222","Mangrove","Mangrove"
"223","Mangrove","Mangrove"
"224","Mangrove","Mangrove"
"225","Mangrove","Mangrove"
"226","Mangrove","Mangrove"
"227","Mangrove","Mangrove"
"228","Mangrove","Mangrove"
"229","Mangrove","Mangrove"
"230","Mangrove","Mangrove"
"231","Mangrove","Mangrove"
"232","Mangrove","Mangrove"
"233","Mangrove","Mangrove"
"234","Mangrove","Mangrove"
"235","Mangrove","Mangrove"
"236","Mangrove","Mangrove"
"237","Mangrove","Mangrove"
"238","Mangrove","Mangrove"
"239","Mangrove","Mangrove"
"240","Mangrove","Mangrove"
"241","Mangrove","Mangrove"
"242","Mangrove","Mangrove"
"243","Mangrove","Mangrove"
"244","Mangrove","Mangrove"
"245","Mangrove","Mangrove"
"246","Mangrove","Mangrove"
"247","Mangrove","Mangrove"
"248","Mangrove","Mangrove"
"249","Mangrove","Mangrove"
"250","Mangrove","Mangrove"
"251","Mangrove","Mangrove"
"252","Mangrove","Mangrove"
"253","Mangrove","Mangrove"
"254","Mangrove","Water"
"255","Mangrove","Water"
"256","Mangrove","Water"
"257","Mangrove","Water"
"258","Mangrove","Water"
"259","Mangrove","Water"
"260","Mangrove","Water"
"261","Mangrove","Forest"
"262","Mangrove","Forest"
"263","Mangrove","Forest"
"264","Mangrove","Forest"
"265","Mangrove","Forest"
"266","Mangrove","Forest"
"267","Mangrove","Forest"
"268","Mangrove","Forest"
"269","Mangrove","Forest"
"270","Mangrove","Forest"
"271","Mangrove","Forest"
"272","Mangrove","Forest"
"273","Mangrove","Forest"
"274","Mangrove","Forest"
"275","Mangrove","Forest"
"276","Mangrove","Forest"
"277","Mangrove","Forest"
"278","Mangrove","Forest"
"279","Mangrove","Forest"
"280","Mangrove","Forest"
"281","Mangrove","Forest"
"282","Mangrove","Forest"
"283","Mangrove","Forest"
"284","Mangrove","Forest"
"285","Mangrove","Forest"
"286","Mangrove","Forest"
"287","Mangrove","Forest"
"288","Mangrove","Forest"
"289","Mangrove","Forest"
"290","Mangrove","Forest"
"291","Mangrove","Forest"
"292","Mangrove","Forest"
"293","Mangrove","Forest"
"294","Mangrove","Forest"
"295","Mangrove","Forest"
"296","Mangrove","Forest"
"297","Mangrove","Forest"
"298","Mangrove","Forest"
"299","Mangrove","Forest"
"300","Mangrove","Forest"
"301","Mangrove","Forest"
"302","Mangrove","Forest"
"303","Mangrove","Forest"
"304","Mangrove","Forest"
"305","Mangrove","Forest"
"306","Mangrove","Forest"
"307","Mangrove","Forest"
"308","Mangrove","Forest"
"309","Mangrove","Forest"
"310","Mangrove","Forest"
"311","Mangrove","Forest"
"312","Mangrove","Forest"
"313","Mangrove","Forest"
"314","Mangrove","Forest"
"315","Mangrove","Forest"
"316","Mangrove","Forest"
"317","Mangrove","Forest"
"318","Mangrove","Forest"
"319","Mangrove","Forest"
"320","Mangrove","Forest"
"321","Mangrove","Forest"
"322","Mangrove","Forest"
"323","Mangrove","Forest"
"324","Mangrove","Forest"
"325","Mangrove","Forest"
"326","Mangrove","Forest"
"327","Mangrove","Forest"
"328","Mangrove","Forest"
"329","Mangrove","Forest"
"330","Mangrove","Forest"
"331","Mangrove","Forest"
"332","Mangrove","Forest"
"333","Mangrove","Forest"
"334","Mangrove","Forest"
"335","Mangrove","Forest"
"336","Mangrove","Forest"
"337","Mangrove","Forest"
"338","Mangrove","Forest"
"339","Mangrove","Forest"
"340","Mangrove","Forest"
"341","Mangrove","Forest"
"342","Mangrove","Forest"
"343","Mangrove","Forest"
"344","Mangrove","Forest"
"345","Mangrove","Forest"
"346","Mangrove","Forest"
"347","Mangrove","Forest"
"348","Mangrove","Forest"
"349","Mangrove","Forest"
"350","Mangrove","Forest"
"351","Mangrove","Forest"
"352","Mangrove","Forest"
"353","Mangrove","Forest"
"354","Mangrove","Forest"
"355","Mangrove","Forest"
"356","Mangrove","Forest"
"357","Mangrove","Forest"
"358","Mangrove","Forest"
"359","Mangrove","Forest"
"360","Mangrove","Forest"
